"Lestodiplosis sp." "Aprostocetus sp.1" "Aprostocetus sp.2" "Eupelmus sp." "Megastigmus sp.1" "Opiinae sp.1" "Pteromalus sp." "Torymoides kiesenwetteri" "Leptopilina sp." "Dolichogenidae sp.1" "Systasis sp." "Braconinae sp.1" "Chalcidoidea sp.1" "Chalcidoidea sp.2" "Eurytomidae sp." "Eurytoma sp.4" "Hymenoptera sp.1" "Hymenoptera sp.2" "Megastigmus sp.2" "Megastigmus sp.3" "Platygasteridae sp." "Tetrastichinae sp.2" "Bootanomyia sp." "Chalcidoidea sp.3" "Eurytoma sp.2" "Braconidae sp.1" "Megastigmus sp.4" "Braconinea sp.2" "Ichneumoidea sp." "Tineobius sp." "Euderus sp." "Elasmus sp." "Tetrastichinae sp.3" "Agathidinae sp."
"Lepidoptera sp.18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0
"Lepidoptera sp.19" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0
"Coleoptera sp.9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0
"Curculionidae sp.3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0
"Curculionidae sp.4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0
"Tenebrionidae sp.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0
"Hymenoptera sp.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0
"Curculionidae sp.5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Curculionidae sp.6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Curculionidae sp.7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
