"sp_c_001" "sp_c_002" "sp_c_003" "sp_c_004" "sp_c_005" "sp_c_006" "sp_c_007" "sp_c_008" "sp_c_009" "sp_c_010"
"sp_r_001" 1 0 0 0 0 0 0 1 0 0
"sp_r_002" 1 0 0 0 0 0 0 0 0 0
"sp_r_003" 0 1 1 0 1 0 1 1 0 0
"sp_r_004" 1 0 0 0 1 0 0 1 0 1
"sp_r_005" 1 0 0 0 0 0 0 0 0 0
"sp_r_006" 0 0 0 0 0 0 0 0 0 0
"sp_r_007" 0 0 0 0 0 0 0 1 0 0
"sp_r_008" 1 0 0 0 0 0 0 1 0 0
"sp_r_009" 1 0 0 0 0 0 0 1 0 1
"sp_r_010" 1 0 0 0 1 0 0 0 1 0
"sp_r_011" 1 0 0 0 0 0 0 1 0 0
"sp_r_012" 0 0 0 0 0 0 0 0 0 0
"sp_r_013" 1 0 0 0 0 0 0 1 0 0
"sp_r_014" 0 0 0 0 1 0 0 0 0 0
"sp_r_015" 0 0 0 0 0 0 0 0 0 1
"sp_r_016" 1 1 0 1 1 1 0 1 0 1
"sp_r_017" 0 0 0 0 1 0 0 0 0 0
"sp_r_018" 0 0 0 1 0 0 0 0 0 0
